home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,run,home_pressing,away_pressing,fatigue_model
0,0,2,2,0.07013599999999999,0.077952,0.16666666666666666,147,high,low,linear
0,0,5,1,0.190784,0.038944,0.3333333333333333,148,high,low,linear
0,0,6,0,0.227184,0.0,0.6777777777777778,149,high,low,linear
0,0,3,5,0.11243999999999998,0.196096,0.32222222222222224,150,high,low,linear
0,0,2,0,0.073376,0.0,0.3888888888888889,151,high,low,linear
1,0,2,5,0.074744,0.19567999999999997,0.13333333333333333,152,high,low,linear
0,1,3,4,0.113088,0.156352,0.7333333333333333,153,high,low,linear
0,0,0,5,0.0,0.196736,0.43333333333333335,154,high,low,linear
0,1,2,4,0.075464,0.157984,0.37777777777777777,155,high,low,linear
0,0,7,4,0.25933599999999996,0.15647999999999998,0.5111111111111111,156,high,low,linear
0,0,5,2,0.185888,0.078592,0.8333333333333334,157,high,low,linear
1,0,4,2,0.15496000000000001,0.078016,0.5222222222222223,158,high,low,linear
0,0,3,1,0.10919999999999999,0.03968,0.5222222222222223,159,high,low,linear
0,0,6,1,0.22653600000000002,0.039072,0.6666666666666666,160,high,low,linear
0,0,4,3,0.147832,0.117216,0.4888888888888889,161,high,low,linear
0,0,1,2,0.037984000000000004,0.078208,0.5111111111111111,162,high,low,linear
0,0,4,4,0.149632,0.157472,0.6444444444444445,163,high,low,linear
1,0,4,4,0.144304,0.158368,0.6,164,high,low,linear
0,0,3,2,0.112152,0.079264,0.4666666666666667,165,high,low,linear
1,0,4,3,0.149272,0.117312,0.6222222222222222,166,high,low,linear
1,0,9,3,0.33595200000000003,0.118112,0.5888888888888889,167,high,low,linear
0,0,1,5,0.03748,0.19519999999999998,0.5,168,high,low,linear
0,1,2,4,0.072512,0.15737600000000002,0.3,169,high,low,linear
0,0,4,8,0.151936,0.31331200000000003,0.36666666666666664,170,high,low,linear
0,0,2,9,0.074456,0.35270399999999996,0.2777777777777778,171,high,low,linear
0,0,0,5,0.0,0.196416,0.5,172,high,low,linear
0,1,1,1,0.039352,0.039136,0.4222222222222222,173,high,low,linear
0,0,2,5,0.07805599999999999,0.19782400000000003,0.5444444444444444,174,high,low,linear
